Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
6/22/2017,"11,40,503","69,02,624","2,32,920","3,28,074","22,178","6,07,986","2,08,257","17,03,460","1,31,718"
6/21/2017,"15,59,448","30,11,266","2,98,204","2,11,941","5,200","9,02,619","2,85,204","27,82,038","1,09,362"
6/20/2017,"4,23,703","45,13,472","5,55,735","2,05,575","16,335","7,42,056","2,49,500","17,77,210","1,66,542"
6/19/2017,"6,92,984","53,19,304","4,76,891","1,01,087",289,"11,51,107","3,33,291","22,51,432","1,28,099"
6/16/2017,"16,99,367","87,44,308","5,27,534","4,19,521","2,605","16,83,193","8,62,350","37,27,636","1,63,934"
6/15/2017,"4,56,515","32,71,708","2,79,316","2,08,679","44,505","8,25,326","4,10,311","29,30,122","1,56,963"
6/14/2017,"13,74,684","33,21,949","5,53,173","3,10,555",0,"7,64,516","4,74,684","18,19,672","3,00,849"
6/13/2017,"11,76,713","48,43,968","4,36,393","2,32,618",740,"6,64,631","3,61,159","18,26,558","1,41,121"
06-12-2017,"6,07,301","47,78,157","4,57,785","1,84,719","3,080","15,49,820","6,32,719","32,98,792","98,765"
06-09-2017,"7,34,302","1,26,54,890","7,24,046","3,16,990","20,050","12,56,831","5,91,685","41,48,986","2,35,880"
06-08-2017,"4,76,562","57,69,509","5,72,129","4,00,549","2,090","6,33,097","3,67,118","19,06,576","1,47,758"
06-07-2017,"7,18,647","70,42,950","15,59,065","3,77,502","12,101","6,32,579","4,04,270","64,70,816","1,95,800"
06-06-2017,"3,85,513","80,36,630","4,54,364","2,90,535","25,350","17,48,869","3,19,449","13,06,226","4,29,233"
06-05-2017,"6,23,403","40,55,039","3,85,377","1,21,729",0,"7,74,788","5,63,420","11,30,264","1,21,644"
06-02-2017,"4,16,972","48,59,019","7,86,524","1,74,606","1,000","6,69,400","8,34,581","11,74,358","1,18,734"
06-01-2017,"5,65,385","56,70,982","6,97,981","3,22,989",0,"7,36,546","6,61,519","15,50,592","1,78,058"
5/31/2017,"6,90,292","45,19,208","6,78,918","5,81,506","1,300","8,98,925","5,44,151","18,86,082","1,82,268"
5/30/2017,"3,29,132","64,51,533","10,29,155","3,80,846","2,000","9,10,011","2,95,270","32,40,652","1,26,259"
5/26/2017,"5,83,320","56,97,757","9,14,983","2,09,049","1,200","11,31,427","8,48,471","13,38,002","1,55,865"
5/25/2017,"10,02,910","79,10,819","6,59,343","6,05,311","10,213","17,44,995","6,55,124","14,66,130","1,31,721"
5/24/2017,"4,79,161","64,02,851","13,87,992","3,27,322","10,327","17,29,253","3,99,593","11,47,310","1,61,469"
5/23/2017,"7,07,341","32,67,623","6,63,837","4,06,640",492,"27,24,758","3,88,327","9,13,578","2,15,974"
5/22/2017,"6,83,327","31,18,846","7,05,786","3,02,608","5,412","11,05,443","5,89,922","5,82,100","2,89,103"
5/19/2017,"7,31,135","31,07,671","15,65,779","2,80,006",0,"11,14,901","6,02,193","13,02,846","3,07,022"
5/18/2017,"7,16,443","40,79,358","2,72,974","1,98,493",0,"10,71,703","4,15,574","9,39,144","2,23,211"
